task,epoch,batch,loss,confidence,pain_fired,lability_mean,vairagya_protection_fc1,shraddha,bhaya,vairagya,spanda,viveka_signal,buddhi,chitta,samskara_mean,moha_fraction,retrograde_fired
0,2,17,1.915038,0.304169,0,1.026821,0.0,0.337697,0.0,0.337921,0.078637,0.347312,0.387374,0.0,0.012784,0.0,0
0,2,18,1.976715,0.366226,0,1.02548,0.0,0.34055,0.0,0.339337,0.076093,0.34769,0.390429,0.0,0.012774,0.0,0
0,2,19,1.871622,0.374522,0,1.024206,0.0,0.343947,0.0,0.341096,0.072301,0.348227,0.393469,0.0,0.01274,0.0,0
0,2,20,1.879564,0.360047,0,1.022995,0.0,0.345557,0.0,0.342044,0.070633,0.348463,0.396494,0.0,0.01273,0.0,0
0,2,21,1.77676,0.354513,0,1.021845,0.0,0.346453,0.0,0.342667,0.069593,0.348584,0.399504,0.0,0.012725,0.0,0
0,2,22,1.939937,0.382278,0,1.020753,0.0,0.350035,0.0,0.344648,0.06876,0.349258,0.402499,0.0,0.01272,0.0,0
0,2,23,1.898395,0.398002,0,1.019715,0.0,0.354832,0.0,0.347315,0.068485,0.350233,0.405479,0.0,0.012723,0.0,0
0,2,24,1.926567,0.350065,0,1.01873,0.0,0.354355,0.0,0.347453,0.066409,0.35023,0.408445,0.0,0.0127,0.0,0
0,2,25,1.692387,0.332378,0,1.017793,0.0,0.352157,0.0,0.346699,0.06592,0.349873,0.411395,0.0,0.012697,0.0,0
0,2,26,1.88327,0.354129,0,1.016904,0.0,0.352355,0.0,0.34707,0.065334,0.349958,0.414331,0.0,0.012692,0.0,0
0,2,27,2.02974,0.370358,0,1.016058,0.0,0.354155,0.0,0.348235,0.066525,0.350366,0.417252,0.0,0.012714,0.0,0
0,2,28,1.847985,0.337834,0,1.015255,0.0,0.352523,0.0,0.347715,0.068064,0.350115,0.420158,0.0,0.012747,0.0,0
0,2,29,1.760248,0.345828,0,1.014492,0.0,0.351853,0.0,0.34762,0.068416,0.35003,0.42305,0.0,0.012768,0.0,0
0,2,30,1.700855,0.380762,0,1.013768,0.0,0.354744,0.0,0.349278,0.068795,0.350644,0.425928,0.0,0.01279,0.0,0
0,2,31,1.769721,0.40848,0,1.013079,0.0,0.360118,0.0,0.352238,0.069001,0.351801,0.428791,0.0,0.01281,0.0,0
0,2,32,1.797703,0.381531,0,1.012425,0.0,0.362259,0.0,0.353702,0.071021,0.352396,0.43164,0.0,0.012856,0.0,0
0,2,33,1.849843,0.362389,0,1.011804,0.0,0.362272,0.0,0.354137,0.071758,0.352595,0.434475,0.0,0.01289,0.0,0
0,2,34,1.652296,0.387807,0,1.011214,0.0,0.364826,0.0,0.35582,0.074301,0.3533,0.437295,0.0,0.012952,0.0,0
0,2,35,1.935893,0.3805,0,1.010653,0.0,0.366393,0.0,0.357054,0.075945,0.353844,0.440102,0.0,0.013008,0.0,0
0,2,36,1.650446,0.375724,0,1.010121,0.0,0.367326,0.0,0.357988,0.076088,0.354281,0.442894,0.0,0.01305,0.0,0
0,2,37,1.741006,0.390874,0,1.009615,0.0,0.369681,0.0,0.359632,0.076593,0.355013,0.445673,0.0,0.013099,0.0,0
0,2,38,1.858994,0.402067,0,1.009134,0.0,0.37292,0.0,0.361754,0.077192,0.355954,0.448437,0.0,0.013152,0.0,0
0,2,39,1.612495,0.416056,0,1.008677,0.0,0.377233,0.0,0.364469,0.079918,0.357156,0.451188,0.0,0.013231,0.0,0
0,3,0,1.7327,0.430619,0,1.008243,0.0,0.382572,0.0,0.367776,0.07995,0.358626,0.453926,0.0,0.013276,0.0,0
0,3,1,1.938315,0.454514,0,1.007831,0.0,0.389766,0.0,0.372113,0.081245,0.360543,0.456649,0.0,0.013339,0.0,0
0,3,2,2.155195,0.484111,0,1.007439,0.0,0.399201,0.0,0.377713,0.082281,0.363015,0.459359,0.0,0.013403,0.0,0
0,3,3,1.944008,0.42785,0,1.007067,0.0,0.402066,0.0,0.38022,0.082134,0.364311,0.462056,0.0,0.013457,0.0,0
0,3,4,1.58667,0.400531,0,1.006714,0.0,0.401912,0.0,0.381236,0.081723,0.365036,0.464739,0.0,0.013508,0.0,0
0,3,5,1.808053,0.377271,0,1.006378,0.0,0.399448,0.0,0.381037,0.083347,0.365281,0.467408,0.0,0.013588,0.0,0
0,3,6,1.813077,0.376132,0,1.006059,0.0,0.397116,0.0,0.380792,0.084841,0.365498,0.470064,0.0,0.013672,0.0,0
0,3,7,1.960651,0.372395,0,1.005756,0.0,0.394644,0.0,0.380372,0.085842,0.365636,0.472708,0.0,0.013752,0.0,0
0,3,8,1.865466,0.373128,0,1.005468,0.0,0.392493,0.0,0.38001,0.086056,0.365785,0.475337,0.0,0.013824,0.0,0
0,3,9,1.921473,0.374975,0,1.005195,0.0,0.390741,0.0,0.379758,0.085056,0.365969,0.477954,0.0,0.013879,0.0,0
0,3,10,1.823565,0.402371,0,1.004935,0.0,0.391904,0.0,0.380889,0.081912,0.366697,0.480558,0.0,0.0139,0.0,0
0,3,11,1.694777,0.393317,0,1.004689,0.0,0.392045,0.0,0.38151,0.080276,0.36723,0.483149,0.0,0.013934,0.0,0
0,3,12,1.827565,0.396311,0,1.004454,0.0,0.392472,0.0,0.38225,0.078771,0.367811,0.485726,0.0,0.013966,0.0,0
0,3,13,1.881193,0.383845,0,1.004231,0.0,0.391609,0.0,0.38233,0.077177,0.368132,0.488291,0.0,0.013994,0.0,0
0,3,14,1.873995,0.339328,0,1.004019,0.0,0.386381,0.0,0.38018,0.076781,0.367556,0.490844,0.0,0.014036,0.0,0
0,3,15,1.801175,0.346378,0,1.003819,0.0,0.382381,0.0,0.37849,0.076366,0.367132,0.493383,0.0,0.014078,0.0,0
0,3,16,1.742392,0.374648,0,1.003628,0.0,0.381607,0.0,0.378298,0.075058,0.367283,0.49591,0.0,0.014106,0.0,0
0,3,17,1.736287,0.386267,0,1.003446,0.0,0.382073,0.0,0.378696,0.074402,0.367662,0.498424,0.0,0.014142,0.0,0
0,3,18,1.869656,0.403292,0,1.003274,0.0,0.384195,0.0,0.379926,0.073096,0.368375,0.500926,0.0,0.014169,0.0,0
0,3,19,1.693603,0.354672,0,1.00311,0.0,0.381243,0.0,0.378663,0.075664,0.368101,0.503415,0.0,0.014251,0.0,0
0,3,20,1.873427,0.348386,0,1.002955,0.0,0.377957,0.0,0.377149,0.075277,0.367707,0.505891,0.0,0.014297,0.0,0
0,3,21,1.67185,0.359493,0,1.002807,0.0,0.376111,0.0,0.376267,0.076042,0.367542,0.508356,0.0,0.01436,0.0,0
0,3,22,1.805777,0.37987,0,1.002667,0.0,0.376487,0.0,0.376447,0.07558,0.367789,0.510808,0.0,0.014408,0.0,0
0,3,23,1.843403,0.337726,0,1.002533,0.0,0.372611,0.0,0.374511,0.077651,0.367188,0.513248,0.0,0.014494,0.0,0
0,3,24,1.767914,0.368732,0,1.002407,0.0,0.372223,0.0,0.374222,0.077844,0.367218,0.515675,0.0,0.014558,0.0,0
0,3,25,1.737012,0.387007,0,1.002286,0.0,0.373701,0.0,0.374861,0.078291,0.367614,0.518091,0.0,0.014627,0.0,0
0,3,26,1.852568,0.390037,0,1.002172,0.0,0.375335,0.0,0.37562,0.080699,0.368063,0.520495,0.0,0.014728,0.0,0
0,3,27,1.812823,0.385202,0,1.002063,0.0,0.376321,0.0,0.376099,0.081063,0.368406,0.522886,0.0,0.014806,0.0,0
0,3,28,1.780614,0.37322,0,1.00196,0.0,0.376011,0.0,0.375955,0.082819,0.368502,0.525266,0.0,0.014908,0.0,0
0,3,29,1.859358,0.363345,0,1.001862,0.0,0.374745,0.0,0.375324,0.08608,0.368399,0.527633,0.0,0.015038,0.0,0
0,3,30,1.646138,0.379413,0,1.001769,0.0,0.375211,0.0,0.375529,0.089078,0.368619,0.529989,0.0,0.015172,0.0,0
0,3,31,1.783121,0.395088,0,1.001681,0.0,0.377199,0.0,0.376507,0.090892,0.369148,0.532334,0.0,0.015299,0.0,0
0,3,32,1.659918,0.405725,0,1.001596,0.0,0.380052,0.0,0.377968,0.092049,0.36988,0.534666,0.0,0.015424,0.0,0
0,3,33,1.626945,0.364321,0,1.001517,0.0,0.378479,0.0,0.377285,0.094147,0.369769,0.536987,0.0,0.015567,0.0,0
0,3,34,1.778027,0.408951,0,1.001441,0.0,0.381526,0.0,0.378869,0.094556,0.370552,0.539296,0.0,0.015692,0.0,0
0,3,35,1.817855,0.412375,0,1.001369,0.0,0.384611,0.0,0.380544,0.094297,0.371389,0.541594,0.0,0.015809,0.0,0
